treehole_id,abundance,dead,year,mortality
2021_1,66,3,2021,0.045454545454545456
2021_2,134,0,2021,0
2021_3,70,0,2021,0
2021_4,67,0,2021,0
2021_5,329,0,2021,0
2021_6,65,1,2021,0.015384615384615385
2021_7,6,0,2021,0
2021_8,311,0,2021,0
2021_9,149,0,2021,0
2021_10,103,5,2021,0.04854368932038835
2021_11,55,0,2021,0
2021_13,200,18,2021,0.09
2021_14,30,2,2021,0.06666666666666667
2021_15,47,0,2021,0
2021_16,334,0,2021,0
2021_19,400,0,2021,0
2021_20,211,22,2021,0.10426540284360189
2021_21,186,0,2021,0
2021_22,241,0,2021,0
2021_23,44,0,2021,0
2021_25,116,0,2021,0
2021_26,94,0,2021,0
2021_27,1,1,2021,1
2021_28,244,0,2021,0
2021_29,193,0,2021,0
2021_30,19,0,2021,0
2021_31,50,0,2021,0
2021_32,56,1,2021,0.017857142857142856
2021_33,155,2,2021,0.012903225806451613
2021_34,91,0,2021,0
2021_35,50,0,2021,0
2021_37,361,0,2021,0
2021_39,24,0,2021,0
2021_41,128,0,2021,0
2021_42,3,0,2021,0
2021_43,113,0,2021,0
2021_44,8,0,2021,0
2021_45,151,0,2021,0
2021_46,3,1,2021,0.3333333333333333
2021_47,427,0,2021,0
2021_48,38,0,2021,0
2021_58,44,0,2021,0
2021_59,8,0,2021,0
2021_67,57,1,2021,0.017543859649122806
2021_70,173,0,2021,0
2021_72,189,0,2021,0
2021_73,88,1,2021,0.011363636363636364
001T,44,0,2022,0
002T,69,0,2022,0
003T,232,0,2022,0
004T,123,0,2022,0
005T,111,0,2022,0
006T,249,3,2022,0.012048192771084338
007T,14,0,2022,0
008T,18,0,2022,0
009T,499,20,2022,0.04008016032064128
011T,140,0,2022,0
012T,130,0,2022,0
013T,262,0,2022,0
014T,76,29,2022,0.3815789473684211
015T,82,1,2022,0.012195121951219513
016T,46,10,2022,0.21739130434782608
017T,98,49,2022,0.5
018T,197,9,2022,0.04568527918781726
020T,8,0,2022,0
021T,154,0,2022,0
022T,47,7,2022,0.14893617021276595
023T,287,137,2022,0.47735191637630664
024T,5,0,2022,0
025T,13,0,2022,0
026T,2,2,2022,1
027T,217,2,2022,0.009216589861751152
028T,66,0,2022,0
029T,5,1,2022,0.2
030T,132,84,2022,0.6363636363636364
031T,177,19,2022,0.10734463276836158
032T,5,0,2022,0
034T,44,0,2022,0
036T,26,0,2022,0
037T,3,0,2022,0
040T,207,0,2022,0
041T,67,0,2022,0
042T,165,2,2022,0.012121212121212121
043T,304,0,2022,0
044T,211,5,2022,0.023696682464454975
045T,122,3,2022,0.02459016393442623
046T,167,0,2022,0
047T,64,3,2022,0.046875
048T,75,13,2022,0.17333333333333334
049T,70,12,2022,0.17142857142857143
050T,163,4,2022,0.024539877300613498
051T,165,4,2022,0.024242424242424242
052T,21,0,2022,0
053T,419,3,2022,0.007159904534606206
054T,84,7,2022,0.08333333333333333
055T,700,0,2022,0
056T,149,12,2022,0.08053691275167785
057T,20,11,2022,0.55
058T,50,1,2022,0.02
059T,236,0,2022,0
061T,343,6,2022,0.01749271137026239
063T,52,5,2022,0.09615384615384616
064T,227,0,2022,0
065T,260,111,2022,0.4269230769230769
066T,69,0,2022,0
068T,2,0,2022,0
070T,27,0,2022,0
071T,142,0,2022,0
072T,86,0,2022,0
074T,5,0,2022,0
076T,13,2,2022,0.15384615384615385
077T,23,0,2022,0
078T,31,0,2022,0
079T,53,0,2022,0
080T,79,0,2022,0
081T,265,59,2022,0.22264150943396227
082T,139,2,2022,0.014388489208633094
083T,106,2,2022,0.018867924528301886
084T,41,0,2022,0
085T,132,0,2022,0
088T,24,2,2022,0.08333333333333333
090T,30,0,2022,0
092T,58,6,2022,0.10344827586206896
093T,231,0,2022,0
094T,183,0,2022,0
098T,298,0,2022,0
100T,287,0,2022,0
101T,224,1,2022,0.004464285714285714
102T,19,1,2022,0.05263157894736842
103T,37,14,2022,0.3783783783783784
107T,101,2,2022,0.019801980198019802
108T,229,11,2022,0.048034934497816595
109T,45,3,2022,0.06666666666666667
110T,324,0,2022,0
111T,26,0,2022,0
112T,2,0,2022,0
113T,70,0,2022,0
114T,411,2,2022,0.004866180048661801
115T,1053,177,2022,0.16809116809116809
117T,26,0,2022,0
118T,96,0,2022,0
120T,7,0,2022,0
121T,217,29,2022,0.1336405529953917
122T,215,1,2022,0.004651162790697674
123T,161,1,2022,0.006211180124223602
124T,230,0,2022,0
125T,30,30,2022,1
