common_name,movement,impact,n
Acorn barnacle,sessile,post,2
Bat,motile,post,1
Bat,motile,during,1
Bay mussel,sessile,post,1
Blueberry aphid,motile,post,1
Caribou,motile,post,1
Caribou,motile,during,1
Dog whelk,motile,post,1
Ferruginous hawk,motile,post,1
Ferruginous hawk,motile,during,1
Green rope seaweed,sessile,post,1
Green rope seaweed,sessile,during,1
Kelp,sessile,post,1
Kelp,sessile,during,1
Little brown barnacle,sessile,post,1
Lupine,sessile,post,1
Moose,motile,post,1
Moose,motile,during,1
Mule deer,motile,post,1
Mule deer,motile,during,1
Olive-sided flycatcher,motile,post,1
Olive-sided flycatcher,motile,during,1
Orange-crowned warbler,motile,post,1
Orange-crowned warbler,motile,during,1
Pacific Wren,motile,post,1
Pacific Wren,motile,during,1
Raspberry aphid,motile,post,1
Red algae,sessile,post,1
Red algae,sessile,during,1
Red squirrel,motile,post,1
Red squirrel,motile,during,1
Rockweed,sessile,post,1
Rockweed,sessile,during,1
Rose,sessile,post,1
Ruby-crowned kinglet,motile,post,1
Ruby-crowned kinglet,motile,during,1
Saskatoon serviceberry,sessile,post,1
Sea lettuce,sessile,post,1
Sea lettuce,sessile,during,1
Snowshow hare,motile,post,1
Snowshow hare,motile,during,1
Surf scoter,motile,post,1
Surfgrass,sessile,post,3
Surfgrass,sessile,during,1
Swainson's thrush,motile,post,1
Swainson's thrush,motile,during,1
Thatched barnacle,sessile,post,2
Western honeybee,motile,post,1
Western honeybee,motile,during,1
Western wood peewee,motile,post,1
Western wood peewee,motile,during,1
Wolf,motile,post,1
Wolf,motile,during,1
